filename,brand
img1.jpg, "Doritos"
img2.jpg, "Doritos"
img3.jpg, "Fritos"
img4.jpg, "Ruffles"
img5.jpg, "Sun Chips"
img6.jpg, "Skinny Pop"
img7.jpg, "Organics"
img8.jpg, "Orville Redenbacher's"
img9.jpg, "Jolly Time"
img10.jpg, "Sea Pak"
img11.jpg, "Just Bare"
img12.jpg, "Stouffer's"
img13.jpg, "Marie Callender's"
img14.jpg, "Delimex"
img15.jpg, "José Olé"
img16.jpg, "Super Pretzel"
img17.jpg, "Healthy Choice"
img18.jpg, "Healthy Choice"
img19.jpg, "DiGiorno"
img20.jpg, "Wild Mike's"
img21.jpg, "Club"
img22.jpg, "Club"
img23.jpg, "Ritz"
img24.jpg, "Toasteds"
img25.jpg, "Chicken in a Biskit"
img26.jpg, "Triscuit"
img27.jpg, "Signature Select"
img28.jpg, "Good Thins"
img29.jpg, "Signature Select"
img30.jpg, "Milton's"
img31.jpg, "Mary's Gone Crackers"
img32.jpg, "Annie's"
img33.jpg, "Goldfish"
img34.jpg, "Pepperidge Farm"
img35.jpg, "Made Good"
img36.jpg, "Lucerne"
img37.jpg, "Kinder"
img38.jpg, "Belvita"
img39.jpg, "Chips Ahoy"
img40.jpg, "Nutter Butter"
img41.jpg, "Chobani"
img42.jpg, "Clover"
img43.jpg, "Stella Artois"
img44.jpg, "Crest"
img45.jpg, "Tom's of Maine"
img46.jpg, "Brawny"
img47.jpg, "Angel Soft"
img48.jpg, "Huggies"
img49.jpg, "Pampers"
img50.jpg, "Luvs"
img51.jpg, "Nerds"
img52.jpg, "Starbucks"
img53.jpg, "Dawn"
img54.jpg, "Peet's"
img55.jpg, "Verve"
img56.jpg, "Blue Bottle"
img57.jpg, "Peet's"
img58.jpg, "Albanese"
img59.jpg, "Starbucks"
img60.jpg, "Torani"
img61.jpg, "Hershey's"
img62.jpg, "Tazo"
img63.jpg, "Crystal Light"
img64.jpg, "Signature Select"
img65.jpg, "Alvarado St. Bakery"
img66.jpg, "Ocean Spray"
img67.jpg, "Smart Juice"
img68.jpg, "Magic Spoon"
img69.jpg, "Great Grains"
img70.jpg, "Special K"
img71.jpg, "Quaker"
img72.jpg, "Wild Mountain"
img73.jpg, "Oatly"
img74.jpg, "Oatly"
img75.jpg, "Planet Oat"
img76.jpg, "Califia Farms"
img77.jpg, "Honey Bunches of Oats"
img78.jpg, "Wheat Chex"
img79.jpg, "Cheerios"
img80.jpg, "Wheaties"
img81.jpg, "Life"
img82.jpg, "Rice Krispies"
img83.jpg, "Sun Maid"
img84.jpg, "Pop Tarts"
img85.jpg, "Welch's"
img86.jpg, "Kodiak"
img87.jpg, "Nutri Grain"
img88.jpg, "Clif"
img89.jpg, "Liquid I.V."
img90.jpg, "Prime"
img91.jpg, "Clif Bar"
img92.jpg, "See's Candies"
img93.jpg, "Wonderful Pistachios"
img94.jpg, "Frosted Flakes"
img95.jpg, "Krave"
img96.jpg, "Great Grains"
img97.jpg, "Bluey"
img98.jpg, "Cinnamon Toast Crunch"
img99.jpg, "Oreo Puffs"
img100.jpg, "Cap'n Crunch's Peanut Butter Crunch"
img101.jpg, "Cap'n Crunch"
img102.jpg, "Apple Jacks"
img103.jpg, "Nana Joes"
img104.jpg, "Kind"
img105.jpg, "Late July"
img106.jpg, "Santa Cruz"
img107.jpg, "Clamato"
img108.jpg, "Oroweat"
img109.jpg, "Nestle Nesquik"
img110.jpg, "Nestle Nesquik"
img111.jpg, "Country Time"
img112.jpg, "Capri Sun"
